ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,VERB,X,CONJ,SYM,SPACE
272,392,873,501,225,791,1,1122,32,235,1290,236,1862,165,849,20,0,0,0
227,533,1479,924,293,889,1,1193,51,315,2029,404,2433,309,1237,32,0,0,0
380,1265,2386,869,752,1732,0,2489,201,319,2618,2118,4456,248,1748,260,0,0,0
438,1059,2404,849,504,1621,12,2617,243,358,2512,1408,4094,363,1664,635,0,0,0
503,1139,2546,844,576,1704,28,2614,229,394,2610,1365,4129,411,1717,739,0,0,0
1229,1799,2574,2142,741,3776,11,4805,79,777,4555,914,4913,607,2913,59,0,0,0
615,1134,3567,1597,623,1919,11,3132,178,548,3615,1224,4287,559,2376,85,0,0,0
609,1190,2677,1109,494,2053,8,3165,241,419,3044,1514,3870,368,2425,172,0,0,0
102,322,1376,493,223,346,5,647,81,196,1171,341,1470,145,669,61,0,0,0
42,37,92,29,20,44,1,145,17,10,60,100,182,12,62,51,0,0,0
66,174,490,172,87,224,3,388,28,66,397,131,555,43,265,19,0,0,0
11,23,88,16,17,42,1,59,5,7,45,24,61,6,45,4,0,0,0
1256,2664,5196,2266,1184,4416,8,6745,1204,1055,6308,4704,8996,636,4585,518,0,0,0
531,1221,2217,639,678,1628,9,2765,281,297,1711,2024,2828,204,1502,226,0,0,0
113,296,559,262,149,424,1,675,64,93,731,327,1097,98,475,44,0,0,0
101,230,998,320,152,301,15,439,43,151,963,330,1137,103,532,53,0,0,0
181,352,893,321,226,434,5,807,70,119,896,517,1191,160,644,154,0,0,0
239,611,1017,315,149,813,7,1521,116,124,1388,1216,1873,117,1003,104,0,0,0
741,1430,1803,741,394,2125,0,3204,118,421,2215,832,3023,404,1867,111,0,0,0
483,983,3005,1208,739,1694,13,2849,197,576,3180,1521,4969,526,2399,189,0,0,0
425,911,2006,732,474,1458,4,2375,244,332,2581,1820,3529,196,2075,294,0,0,0
140,305,800,199,156,347,6,897,93,88,528,828,1318,40,462,69,0,0,0
646,1763,2911,1281,1064,2330,44,4296,390,372,3896,3002,5971,533,2693,603,0,0,0
438,857,1871,859,412,1286,5,2159,162,373,1947,830,2817,298,1330,139,0,0,0
617,1136,1525,790,407,1854,9,2690,86,303,2324,623,2954,269,1977,67,0,0,0
561,1981,3217,833,982,2388,12,4418,480,341,3595,2580,5758,368,2788,301,0,0,0
276,519,1025,388,232,764,4,1614,172,138,1174,1307,2094,68,963,144,0,0,0
657,1032,1850,733,505,1701,16,2673,96,332,2265,698,3386,281,1811,61,0,0,0
550,1384,2696,1335,685,2116,25,3166,135,630,3318,1267,4620,569,2415,178,0,0,0
496,880,2023,754,292,1273,7,2123,97,386,2120,554,2861,300,1548,101,0,0,0
489,971,2534,1035,508,1356,17,2188,148,473,2762,970,3383,297,1849,107,0,0,0
827,1896,3581,677,765,2299,1,4167,586,331,2906,2430,4163,306,2457,279,0,0,0
346,969,2328,902,583,1370,7,2181,76,400,3092,679,5022,514,1765,158,0,0,0
509,1563,3536,1532,573,1986,6,3306,211,582,4197,1613,5110,492,2787,255,0,0,0
683,1431,2354,1547,908,2281,5,3364,154,462,3864,931,4813,456,2590,90,0,0,0
1098,2232,4573,1352,1308,3164,8,5402,632,678,4270,3472,6487,384,3444,539,0,0,0
98,131,164,78,53,217,7,393,7,42,308,73,895,39,264,12,0,0,0
413,938,2380,665,676,1619,4,2613,169,326,2087,1809,3041,281,1961,147,0,0,0
405,758,2852,777,621,1242,0,1931,163,406,2765,1643,3071,311,2005,194,0,0,0
152,354,777,394,197,464,3,885,53,127,940,429,1467,201,747,139,0,0,0
387,1020,2713,711,693,1452,1,2128,303,544,2890,1654,3474,466,2029,234,0,0,0
677,1774,4168,1193,1139,2742,3,4064,524,722,4128,3037,5485,722,3140,359,0,0,0
731,1206,2020,1019,646,1931,10,3006,143,507,2900,916,4188,508,2104,123,0,0,0
