ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,VERB,X,CONJ,SYM,SPACE
421,983,2404,666,694,1643,4,2692,174,328,2132,1968,3228,283,2027,148,0,0,0
418,825,2875,780,645,1269,0,1993,185,409,2809,1810,3266,313,2055,209,0,0,0
219,595,1161,432,301,675,3,1190,64,136,1085,641,1812,217,1044,140,0,0,0
401,1102,2764,723,731,1515,1,2227,321,545,2952,1745,3618,469,2118,234,0,0,0
695,2006,4273,1212,1199,2883,3,4317,553,725,4232,3376,5853,731,3335,361,0,0,0
822,1715,2509,1059,723,2341,10,3602,173,514,3217,1475,4964,520,2586,125,0,0,0
498,886,1142,309,422,1151,2,1604,229,141,928,710,1459,120,937,56,0,0,0
458,1377,1831,675,578,1626,6,2713,193,237,1922,1418,3037,195,1692,198,0,0,0
315,712,1124,408,256,881,5,1368,129,151,1104,910,1885,116,908,62,0,0,0
679,1295,2712,1456,592,2068,15,3272,200,582,3465,1492,5237,475,2463,180,0,0,0
580,1156,2349,1080,604,2031,8,3272,256,366,2215,1361,3814,256,1860,165,0,0,0
1051,2208,3502,1512,1283,3168,14,5052,300,683,4288,2402,6372,614,3470,223,0,0,0
130,359,747,286,156,391,8,747,56,120,943,306,1477,118,559,67,0,0,0
10,27,59,17,18,43,2,63,2,10,56,21,95,9,47,1,0,0,0
374,739,1857,1018,424,1167,1,1684,154,339,2165,661,3135,369,1389,52,0,0,0
756,1570,3875,2165,777,2562,6,3658,180,786,4708,1412,6290,746,3101,127,0,0,0
510,1172,2844,1025,604,1769,9,3075,345,472,2722,2202,4474,284,2048,281,0,0,0
944,2187,2403,1783,919,3061,7,4838,307,475,3028,1573,4377,522,2795,114,0,0,0
883,2625,3402,1113,1072,3376,5,6025,525,582,3758,3947,7424,600,3517,401,0,0,0
162,374,896,209,238,512,1,808,49,143,811,486,924,131,649,69,0,0,0
125,340,726,211,227,482,5,777,75,108,839,552,925,98,585,75,0,0,0
799,1737,3052,1356,703,2489,9,3935,292,543,3401,1838,4661,369,2860,192,0,0,0
846,1700,4435,1163,679,2214,64,4682,331,273,3697,3274,7306,485,3365,749,0,0,0
557,1211,2464,702,604,1450,19,2406,197,284,1945,961,3272,268,1728,76,0,0,0
38,68,94,22,22,76,0,124,12,12,79,49,139,14,74,9,0,0,0
494,854,1650,621,411,1275,4,2365,151,235,1714,1516,3392,224,1544,145,0,0,0
1189,2289,3118,1249,1109,3938,3,5932,638,541,3865,3609,5707,365,3661,298,0,0,0
639,1456,3859,536,236,1119,210,3071,277,177,1786,3311,7217,347,1983,1002,0,0,0
810,1321,2545,554,690,2009,3,3278,396,360,2313,2045,3509,301,1928,202,0,0,0
294,1134,3300,1149,518,1299,74,2073,264,448,3244,1591,4780,330,2050,288,0,0,0
876,2469,5636,2066,937,2611,57,4653,422,896,4996,2322,7996,656,3251,410,0,0,0
629,1645,3958,1418,693,2173,48,3628,364,437,3317,2159,5561,389,2485,109,0,0,0
277,664,1525,676,424,1003,15,1672,149,191,1549,873,2127,189,1374,108,0,0,0
655,1351,3554,1537,822,1894,22,2875,241,490,3389,1214,4731,544,2411,133,0,0,0
2396,4143,9357,3360,2358,6189,29,9776,861,1319,8146,4612,12053,1181,6459,516,0,0,0
576,1276,1839,688,576,1916,1,2968,335,272,2154,2045,3153,283,1841,128,0,0,0
594,1140,1575,378,359,1665,2,3136,321,185,1237,2048,3166,92,1586,155,0,0,0
602,1449,3364,1290,592,1972,3,3333,269,563,3392,1485,4989,463,2690,177,0,0,0
262,627,908,229,209,734,7,1440,94,117,953,1028,1923,70,841,79,0,0,0
172,406,750,379,217,614,2,1128,86,85,855,679,1429,65,737,60,0,0,0
579,2159,4815,1504,1090,2434,113,4028,361,519,5043,2417,7072,707,3661,573,0,0,0
1176,2423,3651,1012,1173,3498,7,6377,950,489,3232,5314,7545,341,3133,306,0,0,0
436,1578,3375,606,650,1354,46,2731,202,68,2033,2714,4604,418,2138,992,0,0,0
1728,3708,6820,2537,1323,5154,18,7906,376,860,8094,2634,8300,965,6048,252,0,0,0
479,1271,2007,490,483,1946,4,3125,352,390,1965,2488,3766,173,1681,216,0,0,0
883,1993,3069,1891,1011,3010,18,4399,176,689,4408,1634,5954,588,3426,167,0,0,0
1650,3000,3881,1714,1303,4433,9,7189,363,802,4386,3065,8090,584,4025,212,0,0,0
1016,1306,2194,1174,543,2591,4,3320,73,611,3810,591,4769,342,2785,48,0,0,0
277,613,917,195,252,793,2,1474,121,102,835,1383,1808,74,857,116,0,0,0
717,1527,3003,598,707,1833,27,3583,364,251,1965,2445,4631,190,1976,182,0,0,0
625,1275,2864,1922,825,2409,14,3310,141,738,4410,636,4159,776,2725,55,0,0,0
303,537,1167,512,289,862,6,1284,79,230,1595,477,1888,232,1152,80,0,0,0
791,2563,3620,1009,1255,2958,6,5182,484,478,3750,3800,6353,387,3254,263,0,0,0
210,357,720,252,236,664,3,991,114,118,876,741,1014,88,719,69,0,0,0
430,1076,2657,948,497,1477,16,2740,324,351,2462,2083,4085,237,1861,251,0,0,0
265,497,888,193,205,651,5,1088,105,117,532,652,1274,81,693,47,0,0,0
116,492,1065,362,256,584,2,895,108,179,1291,803,1562,226,851,113,0,0,0
400,1261,2280,1074,695,1606,4,2416,121,557,3013,687,3644,618,2296,78,0,0,0
415,1710,2341,1222,910,2246,5,3284,136,590,4122,1018,4650,795,3221,105,0,0,0
752,2701,5217,1252,1348,3236,7,5182,672,750,6053,4329,8273,908,4513,439,0,0,0
225,906,1938,562,511,1162,0,1770,242,289,2182,1578,2770,275,1603,222,0,0,0
793,1120,1880,452,745,1679,1,2899,283,151,1363,1910,3048,154,1567,172,0,0,0
611,2151,2703,1094,940,2858,3,4180,495,432,3600,2697,4942,378,2823,275,0,0,0
