name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
heiseler-peter-und-alexej,ger000196,Heiseler,0,Peter und Alexéj,Tragödie,Tragedy,1912,29,False,0.8725870754908868,0.5763546798029556,1.4236453201970445,several characters,16.137931034482758,2,1913,1912.0,28,29,3,25,1,,1,1906,5,0,5,17629,16864,2823,76,2167
hensler-die-teufelsmuehle-am-wienerberg,ger000111,Hensler,0,Die Teufelsmühle am Wienerberg,Ein österreichisches Volksmährchen mit Gesang in vier Aufzügen,,1799,35,False,0.791505410780983,0.2453781512605042,1.8705882352941177,guenther,8.342857142857143,4,,1799.0,29,35,4,20,11,,1,,58,1,4,15761,14871,2266,653,340
heym-atalanta-oder-die-angst,ger000535,Heym,0,Atalanta oder Die Angst,,,1911,3,False,1.0,1.0,1.0,atalanta|bartolomeo|sigismondo,2.0,1,1981,1962.0,2,3,1,2,0,,1,1910/1911,3,0,1,7477,7326,1021,0,960
heyne-der-stammbaum,ger000553,Heyne,0,Der Stammbaum,Erste Fortsetzung der beyden Billets,Comedy,1791,4,False,1.0,1.0,1.0,several characters,3.0,1,,1791.0,3,4,1,3,0,,1,,9,0,0,7955,7855,827,348,0
heyne-die-beiden-billets,ger000482,Heyne,0,Die beiden Billets,Ein Lustspiel in einem Akt,Comedy,1783,3,False,1.0,1.0,1.0,roesgen|schnapps|guerge,2.0,1,1783,1783.0,2,3,1,2,0,,1,,11,0,0,6067,5969,296,192,0
heyse-colberg,ger000047,Heyse,0,Colberg,Historisches Schauspiel in fünf Akten,,1865,30,False,0.8638153501698392,0.3517241379310344,1.7517241379310344,gneisenau,10.2,3,1865,1868.0,22,30,2,25,3,,1,,49,0,5,21602,20534,2671,5,2909
heyse-don-juans-ende,ger000266,Heyse,0,Don Juan's Ende,Trauerspiel in fünf Akten,Tragedy,1883,15,False,0.8404003404003403,0.4952380952380952,1.5142857142857142,don_juan,6.933333333333334,3,1884,1883.0,13,15,4,9,2,,1,,33,0,5,21408,20575,3158,614,18
hippel-der-mann-nach-der-uhr,ger000359,Hippel,0,Der Mann nach der Uhr oder Der ordentliche Mann,Lustspiel in einem Aufzuge,Comedy,1765,6,False,1.0,1.0,1.0,several characters,5.0,1,1765,1765.0,5,6,2,4,0,,1,,18,0,0,8873,8718,524,409,0
hofmannsthal-alkestis,ger000115,Hofmannsthal,0,Alkestis,Ein Trauerspiel nach Euripides,Tragedy,1894,33,False,1.0,0.8295454545454546,1.0,several characters,26.545454545454547,1,1916,1909.0,29,33,8,17,7,,2,1893/1894,2,0,1,7547,7506,743,0,975
hofmannsthal-arabella,ger000210,Hofmannsthal,0,Arabella,Lyrische Komödie in drei Aufzügen,Comedy,1928,18,False,0.8966727716727717,0.7777777777777778,1.2222222222222223,several characters,13.22222222222222,2,1933,1928.0,17,18,5,12,1,,1,,3,17,3,13921,13574,3370,0,1364
hofmannsthal-ariadne-auf-naxos,ger000267,Hofmannsthal,0,Ariadne auf Naxos,Oper in einem Aufzuge nebst einem Vorspiel / Neue Bearbeitung,,1912,17,True,0.9279411764705884,0.6397058823529411,1.3602941176470589,zerbinetta|der_tenor_bacchus|primadonna_ariadne,10.235294117647058,2,1916,1912.0,16,17,5,12,0,,1,,2,21,1,7914,7737,1802,177,546
hofmannsthal-das-bergwerk-zu-falun,ger000161,Hofmannsthal,0,Das Bergwerk zu Falun,,,1899,27,False,0.9208320764203116,0.4615384615384615,1.5384615384615383,elis,12.0,2,1949,1933.0,26,27,13,13,1,,1,1899,5,1,5,21735,21105,3998,0,2474
hofmannsthal-das-salzburger-grosse-welttheater,ger000265,Hofmannsthal,0,Das Salzburger große Welttheater,,,1922,16,False,1.0,1.0,1.0,several characters,15.0,1,1922,1929.0,15,16,1,7,8,,1,,1,0,1,14215,14042,3223,134,1064
hofmannsthal-der-abenteurer-und-die-saengerin,ger000102,Hofmannsthal,0,Der Abenteurer und die Sängerin oder Die Geschenke des Lebens,In einem Aufzug (mit einer Verwandlung),,1899,16,False,0.9416666666666668,0.8833333333333333,1.1166666666666667,several characters,13.25,2,1899,1899.0,15,16,5,11,0,,1,1898,2,0,0,18039,17740,3423,85,1922
hofmannsthal-der-rosenkavalier,ger000109,Hofmannsthal,0,Der Rosenkavalier,Komödie für Musik,,1911,32,True,0.9146343940911004,0.5564516129032258,1.4435483870967742,several characters,17.25,2,1911,1911.0,31,32,6,20,6,,1,1909/1910,3,30,3,20724,19753,7619,0,1785
hofmannsthal-der-schwierige,ger000364,Hofmannsthal,0,Der Schwierige,Lustspiel in drei Akten,Comedy,1920,18,False,0.7404897571564238,0.392156862745098,1.6862745098039216,crescence|hans_karl,6.666666666666667,3,1921,1920.0,13,18,7,11,0,,1,1917,48,2,3,29644,29167,2513,1280,0
hofmannsthal-der-tod-des-tizian,ger000127,Hofmannsthal,0,Der Tod des Tizian,Ein dramatisches Fragment,,1901,9,False,0.8888888888888888,0.7777777777777778,1.0,several characters,6.222222222222222,1,1901,1901.0,7,9,1,8,0,,2,1892,2,2,1,3042,2727,745,0,324
hofmannsthal-der-tor-und-der-tod,ger000079,Hofmannsthal,0,Der Tor und der Tod,,,1894,6,False,1.0,1.0,1.0,several characters,5.0,1,1898,1894.0,5,6,2,3,1,,1,1893,1,2,1,4185,4060,495,0,554
hofmannsthal-der-turm,ger000387,Hofmannsthal,0,Der Turm,Ein Trauerspiel in fünf Aufzügen,Tragedy,1924,97,False,0.9532155290880572,0.3150773195876288,1.698668384879725,julian,30.24742268041237,3,1928,1924.0,92,97,4,90,3,,1,1921/1924,7,2,5,36106,35524,7293,1168,0
