name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"giraldi-cinzio-egle-ms-classe-i-331","ita000073","Giraldi","0","Egle, ms. Classe I 331","","","1545","17","false","0.8735697309226722","0.47794117647058826","1.5220588235294117","egle","7.647058823529412","2","","","16","17","8","9","0","","1","1543/1545","22","","5","19970","19582","75","0","2818"
"giraldi-cinzio-egle","ita000074","Giraldi","0","Egle","","","1545","19","false","0.7542827657378742","0.3157894736842105","1.7426900584795322","egle","5.684210526315789","3","","1545","17","19","8","11","0","","1","","21","0","5","19178","16894","67","0","2411"
"giraldi-cinzio-gli-eudemoni","ita000075","Giraldi","0","Gli Eudemoni","","","1549","15","false","0.6785040885040885","0.45714285714285713","1.6476190476190475","nastagio","6.4","3","","","11","15","3","12","0","","1","1549","30","0","5","13909","12762","124","0","1986"
"giraldi-cinzio-orbecche","ita000076","Giraldi","0","Orbecche","","","1541","15","false","0.5813756613756613","0.2761904761904762","1.5178571428571428","sulmone","3.8666666666666667","3","1541","1543","9","15","7","6","2","","4","1541","21","0","5","24851","23806","61","0","3290"
"goldoni-gl-innamorati","ita000077","Goldoni","0","Gl'innamorati","","","1759","11","false","0.8268398268398266","0.6363636363636364","1.3636363636363635","flamminia|eugenia","6.363636363636363","2","1759","","9","11","5","6","0","","1","1759","41","0","3","17169","15691","917","1159","0"
"goldoni-i-rusteghi","ita000078","Goldoni","0","I rusteghi","","","1760","10","false","1","1","1","several characters","9","1","1760","1762","9","10","4","6","0","","1","","29","0","3","20720","18193","1016","1678","0"
"goldoni-il-campiello","ita000079","Goldoni","0","Il campiello","","","1756","11","false","0.9818181818181819","0.9818181818181818","1.018181818181818","several characters","9.818181818181818","2","1756","","10","11","6","5","0","","1","1756","61","0","5","15815","12839","1381","12","2358"
"goldoni-il-servitore-di-due-padroni","ita000080","Goldoni","0","Il servitore di due padroni","","","1746","12","false","0.8775072150072148","0.6818181818181818","1.3181818181818181","beatrice","7.5","2","1746","","11","12","3","9","0","","1","1745","59","0","3","24651","21745","2542","1484","14"
"goldoni-il-teatro-comico","ita000081","Goldoni","0","Il teatro comico","","","1750","13","false","0.8847430347430348","0.7948717948717948","1.205128205128205","several characters","9.538461538461538","2","1750","","12","13","4","9","0","","1","1750","37","0","3","17975","16051","446","917","30"
"goldoni-il-ventaglio","ita000082","Goldoni","0","Il ventaglio","","","1765","14","false","0.9633699633699635","0.945054945054945","1.054945054945055","several characters","12.285714285714286","2","1765","","13","14","4","10","0","","1","1763/1765","37","0","3","19720","18685","3040","1593","0"
"goldoni-la-bottega-del-caffe","ita000083","Goldoni","0","La bottega del caffè","","","1750","12","false","0.8778198653198652","0.7272727272727273","1.2727272727272727","don_marzio","8","2","1750","","11","12","3","9","0","","1","1750","73","0","3","20867","19359","1982","1507","0"
"goldoni-la-famiglia-dell-antiquario","ita000084","Goldoni","0","La famiglia dell'antiquario","","","1750","11","false","0.875036075036075","0.6909090909090909","1.309090909090909","anselmo|pantalone","6.909090909090909","2","1750","","10","11","3","8","0","","1","","61","0","3","22562","21412","1170","1681","0"
"goldoni-la-locandiera","ita000085","Goldoni","0","La locandiera","","","1753","8","false","1","1","1","several characters","7","1","1753","","7","8","3","5","0","","1","1752","62","0","3","21347","19416","2012","1579","6"
